"","p_value_mix_compsym"
"SEPT6",3.66932706441503e-10
"PGAM1",0.738074263886308
"FLOT1",4.77284864963679e-08
"RBM34",0.228771458763139
"POLR2J3",0.931761617189121
"LEPROT",0.0292047956899495
"DIAPH1",0.00695536446922662
"MAFA",3.08084066036329e-08
"CD151",0.000163674321926988
"C2orf42",0.939198560955705
"DDIT4",1.52508412565311e-08
"TBC1D7",0.00287577979291476
"LILRA3",0.000381779692984252
"BANK1",1.11022302462516e-15
"PPP4R3B",3.8352654385676e-11
"VCL",0.00125213296379267
"IRAK3",0.0141788008734673
"TFDP1",8.31095805509108e-08
"HIGD1A",1.22574902450268e-07
"ANKRD12",4.32986979603811e-14
"APEX1",7.90856594012901e-06
"SLIRP",0.0692242477190825
"CDAN1",0.949596372564206
"BTK",0.000931519506097489
"TBC1D13",0.0132441340257239
"ORMDL3",0.330280709841777
"RANGAP1",0.015056030577011
"DCTN2",0.0178124573602562
"CCDC59",6.88282545990848e-05
"ANXA7",0.00047436695319969
"CNNM3",0.000240781427650938
"PDSS2",0.13640054981525
"DNAJA3",0.00058785737549738
"ZNF358",0.239861124645407
"MX1",0
"AARS",0.0653674388412321
"ZRANB2",5.10361886085775e-09
"AP2S1",0.000511300708647466
"SOD1",0.00037435934107477
"FCER2",7.78270890000599e-06
"CXCR1",1.63317060187795e-05
"PNPLA7",0.000494046062233133
"PPP2R3C",0.00319823579340694
"SQSTM1",0.00279478656270182
"USPL1",0.0794794264122194
"LPAR2",6.35889485511854e-09
"EVI2A",2.01426644075298e-06
"CA2",9.64117674584486e-13
"GPSM3",7.94929325698135e-08
"PLEKHA1",3.3530955789729e-12
"CD53",1.31458954188979e-06
"GPR160",0.00214305622144517
"CPPED1",0.000794033924090831
"MZB1",0.455249281279975
"APOPT1",2.20118656635293e-09
"NME1-NME2",0.00646480764821944
"LCP1",0.000504136951666734
"CCT7",0.120414736808487
"PRMT3",8.33555446888568e-13
"ZP3",0.0568864928996364
"CD82",0.000439600112743577
"STOML2",0.0402159755248047
"CITED2",0.759005215242467
"TTLL12",0.21108312515755
"DSC2",4.19923917938103e-06
"ADCK2",0.00638759870059902
"CLEC12A",0.0124364582028516
"MCM7",0.0383475685785404
"MRPL22",0.00200050683735542
"AMY1C",0.412174992926229
"FBXL15",6.39542713165575e-06
"CDC20",0.100646250946614
"SURF1",3.68004848816383e-09
"RGL4",0.530603294517679
"NECAB2",2.4701714494979e-05
"HYPK",2.5389414842758e-05
"UBR2",4.02642687230559e-05
"COX5B",0.00370993101878581
"B4GALT7",0.272652282041486
"RNF123",0.0014247708424292
"DNAJC7",0.0201417261056227
"STAT3",8.67750316047022e-13
"BANP",0.000160357775426556
"MRPS10",0.00261233039796882
"DGCR6",0.00360248670899166
"TGFBI",0.13565117056624
"ARHGAP9",5.55038748295544e-09
"NELFCD",0.339018064702487
"ELF1",8.71398428969883e-07
"CANT1",6.2071963746746e-07
"ARHGEF18",0.0255713012702951
"CENPB",0.000844294307553728
"RAB1B",9.81100927166523e-08
"FAM129C",1.55600402061973e-05
"ERGIC1",4.96249853068065e-05
"PTPN6",2.87236900931021e-12
"RPF2",0.00322643186430893
"CELF2",0.0319579702913202
"TIMM23",0.000734585522923936
"EPHA1",0.172760803820243
"HTATIP2",0.153898916512757
"CEACAM1",0
"ZBED5",1.47579948261978e-10
"ALG5",0.109365665595013
"PTGDS",0.0126338028366443
"KLHL9",1.68007412648663e-07
"P2RY13",0.541085283295116
"USP11",0.467855670980148
"IFIT3",0
"DLD",0.0154891449420966
"FAU",0.000118692637456008
"MED4",2.26256346991249e-10
"ATG16L2",4.47418324611704e-10
"DNA2",0.453548303728713
"DAPP1",0.000212250177366258
"UNC119",0.267321233415835
"HIST2H3D",0.104625288006332
"C11orf54",5.10408449549971e-06
"TMBIM4",0.00216162905944828
"KPNA4",4.29782221560426e-05
"TMEM138",0.0718192821037265
"ATP2B4",0.000163693382407182
"EFR3A",4.55439201907382e-08
"WSB1",0.0438520005978902
"FBXO33",2.25164331624228e-12
"APOBEC3H",0.0159012814721888
"MRPL50",0.00241339706979615
"RPSA",3.26571973907619e-08
"PPP6C",0.743777926768933
"FLNB",0.00523403984061466
"GTF2E2",3.67235350906547e-06
"SSU72",0.14784660115741
"CASC3",2.66251320324429e-07
"SPG11",0.167473218179734
"NOA1",2.17501136138276e-05
"NSMF",0.0217533230305219
"PTGS1",0.0416083899465296
"ITGB1BP1",0.0034227530063291
"CD36",1.24319497396552e-06
"EDC4",0.37106418782291
"CEP19",1.79841652570012e-06
"FKBP14",2.64006243977377e-07
"SPCS1",0.00801674584956324
"NUB1",0
"SH3BP5L",0.000123684886303765
"GSDMD",0
"PUM3",0.000570891446243782
"BRF2",0.0125512172370261
"USP15",0.0245311469460916
"TUBB",0.0515128930359421
"EIF2S3",0.000631424803961611
"ABCB10",7.69406141465367e-07
"BCL11B",7.28409998984603e-10
"CSE1L",5.34213839944453e-05
"CLPTM1",5.01882956926991e-06
"RNF149",0.00013024985900878
"WDR61",0.00182846211689314
"LASP1",6.84434367514974e-07
"MAP4K1",0.000501415688494822
"ACBD3",9.02167229810402e-12
"AKTIP",1.09245945623115e-13
"WASL",1.7921837347501e-09
"NUP214",0.0465825420585151
"TMUB1",7.88448639710282e-10
"HLA-H",7.83817455385361e-14
"OLIG1",0.0547125346201975
"MORF4L2",1.17076108807623e-08
"CECR1",3.56693741210279e-08
"TP53I13",0.00235195398196841
"DCTN5",1.57208696709432e-05
"GSDMB",6.83104386567379e-06
"MIS18BP1",4.32660607341262e-09
"AMFR",0.238443375862119
"CTSZ",1.31492594590554e-09
"SRRD",0.302708848338641
"ATP5H",0.00464851684320999
"TRIM56",2.34319230685287e-11
"CALM3",0.203279391952749
"RING1",0.15254633117147
"PSMB6",0.000146678560073221
"RBMS1",0.0201269061643091
"CAMK2A",0.139734507397139
"STK3",3.82575065956958e-05
"UQCRQ",0.001544418154517
"SP2",0.00826363967693244
"CRK",9.56050413114529e-05
"SKIV2L",0.00592327155455963
"IRF8",0.0029144976382911
"PI4KB",5.04792281135202e-05
"VPS52",0.137748540213629
"RPS14",0.000404795391353296
"RBX1",0.00628187968011718
"ZNF586",5.82075958543982e-07
"CXCL8",2.39963515724639e-08
"RBM15",8.34710078834178e-12
"PPP2R5E",0.0013015801433649
"PHLDB1",0.305650149005871
"RAP1GAP2",0.107366806864069
"ADGRG5",0.0503463909446713
"PINK1",0.000128755918546219
"FCGR2A",4.82668290002763e-07
"ASH2L",0.00380714866965626
"MPC1",0.00229790213207859
"PASK",4.44089209850063e-16
"HSBP1",0.00188508398866283
"EIF4A3",0.101219477834764
"PRPS1",2.14218370153674e-06
"ZC3HAV1",0.00105260268757679
"CCND2",6.28812523241207e-05
"AP3M1",0.0047475948507063
"FBXO7",9.58611548237398e-05
"NKX3-1",0.473784385444011
"SQRDL",0
"POC1B",1.06570069422496e-05
"MTX1",9.58167145626021e-09
"INPP1",0.0255926301308005
"SDHB",0.00194485636622554
"MAPK3",0.000603027175731352
"RANBP10",0.000373298072023798
"PLPPR2",1.15658864707768e-08
"PPP1R21",8.51643384336409e-05
"SLA",0.135363873462853
"DEGS1",0.00405777799499685
"SULF2",0.0477849613235883
"LTBR",1.77809544865681e-10
"GUSBP2",5.15041520543491e-09
"IFRD1",1.63495795479918e-06
"LCMT2",0.0212619137851637
"PARVB",0.0922058997475461
"PLA2G16",9.65897195768228e-05
"TMEM101",0.000247940650487832
"ANKRD33",0.836621097647844
"SLC4A5",0.39846344936602
"HBA2",0.00243092777552167
"MLKL",5.30341326410166e-11
"RITA1",0.413831458221552
"THOC5",5.68336134787462e-05
"TNS3",4.2166448332992e-08
"FAM129A",9.55183985644759e-05
